# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
258442,1,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
258443,1,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
258444,1,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
258446,1,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
258448,1,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
258656,1,4,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
258656,70,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
258690,1,4,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
259721,1,6,1,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/1
272760,1,0,0,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60/0 L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
272760,11,11,1,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/1 L1_Mu3_JetC60/1
272774,1,0,0,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60/0 L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
272774,10,10,1,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/1 L1_Mu3_JetC60/1
272771,1,0,0,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60/0 L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
272771,4,11,1,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/1 L1_Mu3_JetC60/1
272775,1,10,1,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/1 L1_Mu3_JetC60/1
272775,119,11,1,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/1 L1_Mu3_JetC60/1
272775,125,10,1,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/1 L1_Mu3_JetC60/1
272776,1,10,1,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/1 L1_Mu3_JetC60/1
272776,37,11,1,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/1 L1_Mu3_JetC60/1
272776,48,10,1,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/1 L1_Mu3_JetC60/1
272829,1,7,1,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60/1 L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/1
272828,1,6,1,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60/1 L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/1
272828,50,7,1,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60/1 L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/1
272827,1,0,0,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60/0 L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
272827,12,6,1,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60/1 L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/1
256925,1,4,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
256926,1,4,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
256926,41,5,3,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/3
260571,1,4,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
260568,None,None,1,HLT_BTagMu_DiJet110_Mu5_v2,ONE,L1_Mu3_JetC52_WdEtaPhi2
260572,1,4,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
260576,1,4,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
260577,1,4,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
260570,1,4,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
260575,1,4,5,HLT_BTagMu_DiJet110_Mu5_v2/1,ONE,L1_Mu3_JetC52_WdEtaPhi2/5
272922,1,0,0,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60/0 L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
272922,19,5,1,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/1 L1_Mu3_JetC60/15
272924,1,6,1,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60/1 L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/1
272927,1,6,1,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60/1 L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/1
272927,11,5,1,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/1 L1_Mu3_JetC60/15
272927,64,6,1,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60/1 L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/1
272929,None,None,1,HLT_BTagMu_DiJet110_Mu5_v2,OR,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4 L1_Mu3_JetC60
272930,1,6,1,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60/1 L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/1
272930,17,5,1,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/1 L1_Mu3_JetC60/15
272930,156,0,0,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60/0 L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
272930,160,5,1,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/1 L1_Mu3_JetC60/15
272921,1,0,0,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60/0 L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
272923,1,5,1,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/1 L1_Mu3_JetC60/15
272925,None,None,1,HLT_BTagMu_DiJet110_Mu5_v2,OR,L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4 L1_Mu3_JetC60
272926,1,6,1,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60/1 L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/1
272936,1,6,1,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60/1 L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/1
272935,1,0,0,HLT_BTagMu_DiJet110_Mu5_v2/1,OR,L1_Mu3_JetC60/0 L1_Mu3_JetC60_dEta_Max0p4_dPhi_Max0p4/0
